State_county,V_Persons_age_18_ACS_2012_2016,V_Persons_age_65_ACS_2012_2016,VHighschooleducationACS2012201,VFamiliesbelowpovertyACS201220,V_Unemployed_ACS_2012_2016
HI: Kalawao County (15005) - 2000+,00110,02308,00952,00000,00000
PA: Forest County (42053),00387,02146,01921,00839,00450
FL: Sumter County (12119),00752,05311,00947,00565,00791
TX: Loving County (48301),00789,02500,02537,00000,00000
CO: Mineral County (08079),00794,03758,00337,00536,00211
VA: Sussex County (51183),00810,01613,02773,01503,00661
VA: Lexington City (51678),00833,01420,01496,00618,00393
CO: San Juan County (08111),01014,01703,00460,00236,01028
VA: Williamsburg City (51830) - 1982+,01100,01516,00532,00555,00908
VA: Radford City (51750),01135,00799,01040,01601,00921
OR: Wheeler County (41069),01147,03579,00839,01154,01046
AK: Aleutians East Borough (02013) - 1994+,01234,00667,01564,01242,00261
PA: Sullivan County (42113),01236,02691,01096,00529,00889
SC: McCormick County (45065),01285,03043,01918,01238,01394
FL: Charlotte County (12015),01308,03762,01058,00832,01009
NC: Watauga County (37189),01314,01408,01199,01178,00885
MI: Ontonagon County (26131),01315,03166,00831,00890,01196
MI: Alcona County (26001),01317,03447,01141,01039,01030
TX: Concho County (48095),01318,01591,03856,01138,00195
AK: Skagway Municipality (02230) - 2011+,01321,00957,00347,00455,00668
CO: Crowley County (08025),01322,01335,01715,02615,02642
GA: Towns County (13281),01331,03312,01065,01049,00891
CA: San Francisco County (06075),01348,01438,01256,00702,00619
NV: Storey County (32029),01352,02870,00603,00259,00409
CO: Ouray County (08091),01359,02660,00221,00601,00642
WA: Jefferson County (53031),01368,03164,00549,00676,00722
VA: Highland County (51091),01386,03605,01592,00901,00131
TX: Terrell County (48443),01414,03201,02361,02111,00506
WA: San Juan County (53055),01419,02952,00467,00685,00506
WV: Gilmer County (54021),01423,01523,01945,01727,01058
KY: Lyon County (21143),01439,02306,01229,00792,00578
CA: Sierra County (06091),01450,02607,01096,00282,00392
GA: Stewart County (13259),01454,01523,03789,03835,01389
NY: New York County (36061) - 1980+,01464,01438,01300,01369,00687
MT: Powell County (30077),01478,01865,01143,00746,00146
WI: Adams County (55001),01492,02701,01270,00765,00949
FL: Sarasota County (12115),01494,03400,00744,00694,00713
NE: Hooker County (31091),01495,03737,00591,00796,00188
WI: Iron County (55051),01496,02853,00657,00926,00717
TX: Madison County (48313),01496,01451,02244,01424,00393
TX: Haskell County (48207),01499,02195,03154,01441,00963
FL: Monroe County (12087),01500,02038,00899,00747,00492
FL: Citrus County (12017),01502,03511,01329,01155,01165
MI: Montmorency County (26119),01509,02938,01289,01178,01379
WA: Whitman County (53075),01511,00975,00417,01170,00895
GA: Hancock County (13141),01511,01939,02709,02532,01031
ID: Clearwater County (16035),01517,02485,01214,00940,00659
OH: Athens County (39009),01524,01135,01034,01770,00940
SD: Jones County (46075),01525,02138,00833,00563,00229
TN: Lake County (47095),01526,01507,02695,02280,01224
IL: Brown County (17009),01529,01308,01414,01018,00510
MI: Roscommon County (26143),01531,02967,01165,01431,01402
NY: Tompkins County (36109),01532,01218,00550,00912,00537
OR: Curry County (41015),01535,03155,01033,00959,01097
PA: Centre County (42027),01536,01244,00670,00671,00485
TX: Llano County (48299),01537,03429,01354,00966,00766
MS: Issaquena County (28055),01538,01864,03349,03720,01072
GA: Taliaferro County (13265),01544,02232,03278,01903,01165
TX: Walker County (48471),01549,01142,01744,01336,00418
NM: Sierra County (35051),01550,03464,01718,01462,01002
MI: Alger County (26003),01552,02345,01061,00870,00762
MA: Hampshire County (25015),01553,01476,00574,00617,00715
CA: Amador County (06005),01554,02473,01166,00615,01156
VA: Charlottesville City (51540),01556,00941,00968,01242,00387
VA: Middlesex County (51119),01558,02899,01141,00705,00529
MT: Deer Lodge County (30023),01562,02089,01054,01360,00373
MI: Gogebic County (26053),01564,02329,00726,01345,00849
CO: Chaffee County (08015),01566,02283,00832,00566,00385
VA: Prince Edward County (51147),01566,01515,01695,01125,00659
NC: Avery County (37011),01566,02040,02104,01167,00796
NM: Catron County (35003),01568,03434,00774,01026,00401
VA: Lancaster County (51103),01569,03489,01070,00514,00539
MT: Madison County (30057),01571,02608,00549,00709,00407
AK: Aleutians West Census Area (02016) - 1994+,01572,00572,01252,00502,00109
CO: Huerfano County (08055),01573,02981,00866,01382,01262
NY: Hamilton County (36041),01575,02670,01373,00766,00923
MN: Cook County (27031),01576,02462,00437,00514,00241
WI: Florence County (55037),01576,02541,00716,00535,00759
VA: Northumberland County (51133),01579,03390,01035,00860,00757
VA: Harrisonburg City (51660) - 1980+,01583,00815,01493,01512,00591
CO: Clear Creek County (08019),01584,01822,00307,00431,00438
CO: Bent County (08011),01587,01615,01576,02014,00786
TX: Jones County (48253),01591,01434,02275,01396,00374
FL: Gulf County (12045),01592,01786,01747,01228,00922
MA: Barnstable County (25001),01595,02784,00461,00490,00630
IN: Monroe County (18105),01596,01128,00777,01172,00662
VA: Montgomery County (51121),01599,01103,00866,00832,00464
OR: Sherman County (41055),01613,02428,00665,00848,00720
NE: Rock County (31149),01613,02587,00755,00741,00163
MT: Powder River County (30075),01614,02373,00506,00205,00432
VA: Bland County (51021),01618,01983,01082,00591,00650
CO: Fremont County (08043),01619,02003,01127,01396,00802
WV: Monongalia County (54061),01620,01092,00841,01102,00607
CO: Pitkin County (08097),01623,01555,00459,00413,00549
VA: Charles City County (51036),01626,02121,02274,01094,00729
WA: Wahkiakum County (53069),01627,03133,00687,00871,00697
MT: Judith Basin County (30045),01630,02367,00515,00765,00289
MI: Iron County (26071),01633,02841,00832,01150,00769
SD: McPherson County (46089),01639,02948,02118,00772,00592
NC: Pamlico County (37137),01641,02578,01332,00783,00903
TX: Edwards County (48137),01642,02707,02493,00457,00391
VA: Greensville County (51081),01646,01499,02342,01311,00664
CA: Lassen County (06035),01647,01228,01860,01089,00943
MI: Presque Isle County (26141),01650,02901,01151,00851,01243
FL: Franklin County (12037),01652,01993,02040,01649,00923
WY: Albany County (56001),01653,00955,00421,01138,00458
CA: Mariposa County (06043),01654,02483,01053,01306,00982
MD: Kent County (24029),01656,02429,01272,00655,00560
CA: Plumas County (06063),01657,02492,00809,00612,01178
GA: Union County (13291),01657,03121,01128,00923,00906
MI: Keweenaw County (26083),01658,03112,00561,01027,00664
MI: Mackinac County (26097),01658,02556,01090,01091,01124
NC: Transylvania County (37175),01658,02794,01179,01084,00666
NH: Coos County (33007),01658,02148,01213,00886,00666
WI: Door County (55029),01660,02661,00637,00517,00586
IL: McDonough County (17109),01662,01509,00721,01197,00932
VA: Mathews County (51115),01663,02924,00854,00638,00200
NM: Harding County (35021),01664,02885,01101,00642,00596
CO: Summit County (08117),01666,01039,00534,00534,00435
CO: Park County (08093),01667,01651,00370,00280,00433
CA: Tuolumne County (06109),01668,02344,01021,00984,01159
FL: Glades County (12043),01670,02589,02560,01842,01325
MO: Nodaway County (29147),01672,01409,00742,01372,00544
MI: Iosco County (26069),01680,02795,01161,01174,01151
WI: Price County (55099),01681,02386,00970,00886,00395
NH: Carroll County (33003),01682,02423,00668,00630,00508
MI: Luce County (26095),01682,02037,01123,01597,01339
MT: Petroleum County (30069),01685,01978,00224,01630,00386
OR: Benton County (41003),01685,01429,00500,00831,00784
NY: Otsego County (36077),01685,01853,00953,00928,00687
MD: Somerset County (24039),01685,01541,02084,02061,00839
WI: Vilas County (55125),01686,02883,00755,00901,00768
VA: Richmond County (51159),01688,01981,01943,01403,00631
SD: Clay County (46027),01691,01087,00516,01207,00617
FL: Martin County (12085),01692,02936,00998,00731,00843
GA: Wheeler County (13309),01692,01296,02342,02301,00753
TX: Kimble County (48267),01695,03059,01692,01418,00601
MO: DeKalb County (29063),01698,01567,01406,01080,00550
FL: Jefferson County (12065),01699,02012,02016,01126,00845
LA: West Feliciana Parish (22125),01699,01400,02072,01232,01045
MI: Baraga County (26013),01701,01869,01672,01004,00680
MI: Lake County (26085),01701,02625,01789,01872,01213
MI: Leelanau County (26089),01702,02791,00516,00450,00659
FL: Pinellas County (12103),01702,02298,00960,00952,00735
VA: Arlington County (51013) - 1980+,01705,00933,00624,00587,00340
NM: De Baca County (35011),01705,02337,01411,00803,00659
NH: Grafton County (33009),01707,01804,00784,00643,00460
IA: Story County (19169),01708,01075,00365,00530,00520
SD: Custer County (46033),01712,02589,00664,00761,00464
NY: Essex County (36031),01717,02108,01045,00640,00752
NC: Brunswick County (37019),01718,02690,01198,01127,00969
MN: Aitkin County (27001),01722,03002,00865,00851,00699
OR: Lincoln County (41041),01723,02489,01074,01285,00661
MA: Suffolk County (25025),01723,01099,01520,01584,00788
ME: Lincoln County (23015),01727,02509,00679,00792,00356
CA: Trinity County (06105),01728,02414,00934,01429,00989
ND: Sheridan County (38083),01728,02523,01314,01136,00395
AZ: La Paz County (04012) - 1994+,01730,03606,02484,01403,01060
NC: Jackson County (37099),01731,01751,01320,01531,00515
WI: Oneida County (55085),01735,02405,00797,00599,00507
WA: Pacific County (53049),01737,02776,01160,01017,00774
NC: Tyrrell County (37177),01737,02008,02700,01771,01288
