State_county,Race_recode_White_Black_Other,Count,Row_Percent,Cumulative_Row_Percent
Alabama,White,0,,
Alabama,Black,0,,
Alabama,"Other (American Indian/AK Native, Asian/Pacific Islander)",0,,
Alabama,Total,0,,
AL: Autauga County (01001),White,0,,
AL: Autauga County (01001),Black,0,,
AL: Autauga County (01001),"Other (American Indian/AK Native, Asian/Pacific Islander)",0,,
AL: Autauga County (01001),Total,0,,
AL: Baldwin County (01003),White,0,,
AL: Baldwin County (01003),Black,0,,
AL: Baldwin County (01003),"Other (American Indian/AK Native, Asian/Pacific Islander)",0,,
AL: Baldwin County (01003),Total,0,,
AL: Barbour County (01005),White,0,,
AL: Barbour County (01005),Black,0,,
AL: Barbour County (01005),"Other (American Indian/AK Native, Asian/Pacific Islander)",0,,
AL: Barbour County (01005),Total,0,,
AL: Bibb County (01007),White,0,,
AL: Bibb County (01007),Black,0,,
AL: Bibb County (01007),"Other (American Indian/AK Native, Asian/Pacific Islander)",0,,
AL: Bibb County (01007),Total,0,,
AL: Blount County (01009),White,0,,
AL: Blount County (01009),Black,0,,
AL: Blount County (01009),"Other (American Indian/AK Native, Asian/Pacific Islander)",0,,
AL: Blount County (01009),Total,0,,
AL: Bullock County (01011),White,0,,
AL: Bullock County (01011),Black,0,,
AL: Bullock County (01011),"Other (American Indian/AK Native, Asian/Pacific Islander)",0,,
AL: Bullock County (01011),Total,0,,
AL: Butler County (01013),White,0,,
AL: Butler County (01013),Black,0,,
AL: Butler County (01013),"Other (American Indian/AK Native, Asian/Pacific Islander)",0,,
AL: Butler County (01013),Total,0,,
AL: Calhoun County (01015),White,0,,
AL: Calhoun County (01015),Black,0,,
AL: Calhoun County (01015),"Other (American Indian/AK Native, Asian/Pacific Islander)",0,,
AL: Calhoun County (01015),Total,0,,
AL: Chambers County (01017),White,0,,
AL: Chambers County (01017),Black,0,,
AL: Chambers County (01017),"Other (American Indian/AK Native, Asian/Pacific Islander)",0,,
AL: Chambers County (01017),Total,0,,
AL: Cherokee County (01019),White,0,,
AL: Cherokee County (01019),Black,0,,
AL: Cherokee County (01019),"Other (American Indian/AK Native, Asian/Pacific Islander)",0,,
AL: Cherokee County (01019),Total,0,,
AL: Chilton County (01021),White,0,,
AL: Chilton County (01021),Black,0,,
AL: Chilton County (01021),"Other (American Indian/AK Native, Asian/Pacific Islander)",0,,
AL: Chilton County (01021),Total,0,,
AL: Choctaw County (01023),White,0,,
AL: Choctaw County (01023),Black,0,,
AL: Choctaw County (01023),"Other (American Indian/AK Native, Asian/Pacific Islander)",0,,
AL: Choctaw County (01023),Total,0,,
AL: Clarke County (01025),White,0,,
AL: Clarke County (01025),Black,0,,
