State_county,Sex,Count,Row_Percent,Cumulative_Row_Percent
Alabama,Male,0,,
Alabama,Female,0,,
Alabama,Total,0,,
AL: Autauga County (01001),Male,0,,
AL: Autauga County (01001),Female,0,,
AL: Autauga County (01001),Total,0,,
AL: Baldwin County (01003),Male,0,,
AL: Baldwin County (01003),Female,0,,
AL: Baldwin County (01003),Total,0,,
AL: Barbour County (01005),Male,0,,
AL: Barbour County (01005),Female,0,,
AL: Barbour County (01005),Total,0,,
AL: Bibb County (01007),Male,0,,
AL: Bibb County (01007),Female,0,,
AL: Bibb County (01007),Total,0,,
AL: Blount County (01009),Male,0,,
AL: Blount County (01009),Female,0,,
AL: Blount County (01009),Total,0,,
AL: Bullock County (01011),Male,0,,
AL: Bullock County (01011),Female,0,,
AL: Bullock County (01011),Total,0,,
AL: Butler County (01013),Male,0,,
AL: Butler County (01013),Female,0,,
AL: Butler County (01013),Total,0,,
AL: Calhoun County (01015),Male,0,,
AL: Calhoun County (01015),Female,0,,
AL: Calhoun County (01015),Total,0,,
AL: Chambers County (01017),Male,0,,
AL: Chambers County (01017),Female,0,,
AL: Chambers County (01017),Total,0,,
AL: Cherokee County (01019),Male,0,,
AL: Cherokee County (01019),Female,0,,
AL: Cherokee County (01019),Total,0,,
AL: Chilton County (01021),Male,0,,
AL: Chilton County (01021),Female,0,,
AL: Chilton County (01021),Total,0,,
AL: Choctaw County (01023),Male,0,,
AL: Choctaw County (01023),Female,0,,
AL: Choctaw County (01023),Total,0,,
AL: Clarke County (01025),Male,0,,
AL: Clarke County (01025),Female,0,,
AL: Clarke County (01025),Total,0,,
AL: Clay County (01027),Male,0,,
AL: Clay County (01027),Female,0,,
AL: Clay County (01027),Total,0,,
AL: Cleburne County (01029),Male,0,,
AL: Cleburne County (01029),Female,0,,
AL: Cleburne County (01029),Total,0,,
AL: Coffee County (01031),Male,0,,
AL: Coffee County (01031),Female,0,,
AL: Coffee County (01031),Total,0,,
AL: Colbert County (01033),Male,0,,
AL: Colbert County (01033),Female,0,,
AL: Colbert County (01033),Total,0,,
AL: Conecuh County (01035),Male,0,,
AL: Conecuh County (01035),Female,0,,
AL: Conecuh County (01035),Total,0,,
AL: Coosa County (01037),Male,0,,
AL: Coosa County (01037),Female,0,,
AL: Coosa County (01037),Total,0,,
AL: Covington County (01039),Male,0,,
AL: Covington County (01039),Female,0,,
AL: Covington County (01039),Total,0,,
AL: Crenshaw County (01041),Male,0,,
AL: Crenshaw County (01041),Female,0,,
AL: Crenshaw County (01041),Total,0,,
AL: Cullman County (01043),Male,0,,
AL: Cullman County (01043),Female,0,,
AL: Cullman County (01043),Total,0,,
AL: Dale County (01045),Male,0,,
AL: Dale County (01045),Female,0,,
AL: Dale County (01045),Total,0,,
AL: Dallas County (01047),Male,0,,
AL: Dallas County (01047),Female,0,,
AL: Dallas County (01047),Total,0,,
AL: DeKalb County (01049),Male,0,,
AL: DeKalb County (01049),Female,0,,
AL: DeKalb County (01049),Total,0,,
AL: Elmore County (01051),Male,0,,
AL: Elmore County (01051),Female,0,,
AL: Elmore County (01051),Total,0,,
AL: Escambia County (01053),Male,0,,
AL: Escambia County (01053),Female,0,,
AL: Escambia County (01053),Total,0,,
AL: Etowah County (01055),Male,0,,
AL: Etowah County (01055),Female,0,,
AL: Etowah County (01055),Total,0,,
AL: Fayette County (01057),Male,0,,
AL: Fayette County (01057),Female,0,,
AL: Fayette County (01057),Total,0,,
