County ,Cigarette Smoking Rate 
Alameda ,11.5% 
Alpine ,12.6% 
Amador ,12.6% 
Butte ,15.9% 
Calaveras ,12.6% 
Colusa ,18.9% 
Contra Costa ,12.6% 
Del Norte ,24.7% 
El Dorado ,15.9% 
Fresno ,19.1% 
Glenn ,18.9% 
Humboldt ,14.4% 
Imperial ,10.2% 
Inyo ,12.6% 
Kern ,14.7% 
Kings ,13.9% 
Lake ,25.5% 
Lassen ,15.3% 
Los Angeles ,11.6% 
Madera ,10.6% 
Marin ,8.90% 
Mariposa ,19.2% 
Mendocino ,15.0% 
Merced ,16.4% 
Modoc ,15.3% 
Mono ,12.6% 
Monterey ,10.6% 
Napa ,15.6% 
Nevada ,15.3% 
Orange ,11.1% 
Placer ,9.00% 
Plumas ,15.3% 
Riverside ,11.8% 
Sacramento ,15.9% 
San Benito ,10.5% 
San Bernardino ,13.8% 
San Diego ,11.0% 
San Francisco ,10.8% 
San Joaquin ,13.8% 
San Luis Obispo ,13.00%
San Mateo ,6.70% 
Santa Barbara ,11.1% 
Santa Clara ,8.60% 
Santa Cruz ,10.5% 
Shasta ,20.6% 
Sierra ,15.3% 
Siskiyou ,24.7% 
Solano ,11.5% 
Sonoma ,12.7% 
Stanislaus ,16.5% 
Sutter ,14.9% 
Tehama ,18.9% 
Trinity ,24.7% 
Tulare ,16.9% 
Tuolumne ,19.2% 
Ventura ,10.4% 
Yolo ,11.5% 
Yuba ,22.3% 
